id_modulo,fecha_inicio,fecha_fin,tipo_solucion,fuente_ils,notas
PAD-01-C02-F02-M04,2024-09-13,2025-01-11,refino,,Asignación inicial
PAD-01-C02-F02-M05,2024-09-13,2025-01-11,refino,,Asignación inicial
PAD-01-C02-F02-M06,2024-09-13,2025-01-11,refino,,Asignación inicial
PAD-01-C02-F02-M07,2024-09-13,2025-01-11,refino,,Asignación inicial
PAD-01-C02-F02-M08,2024-09-13,2025-01-11,refino,,Asignación inicial
PAD-01-C02-F02-M09,2024-09-13,2024-10-23,refino,,Asignación inicial
PAD-01-C02-F02-M09,2024-10-23,2025-01-11,ils,PAD-01-C02-F06,Cambio a ILS día 40
PAD-01-C02-F02-M10,2024-09-13,2024-10-23,refino,,Asignación inicial
PAD-01-C02-F02-M10,2024-10-23,2025-01-11,ils,PAD-01-C02-F06,Cambio a ILS día 40
PAD-01-C02-F03-M01,2024-09-23,2025-01-21,refino,,Asignación inicial
PAD-01-C02-F03-M02,2024-09-23,2024-10-13,refino,,Asignación inicial
PAD-01-C02-F03-M02,2024-10-13,2025-01-21,ils,PAD-01-C02-F02,Cambio a ILS día 20
PAD-01-C02-F03-M03,2024-09-23,2024-10-13,refino,,Asignación inicial
PAD-01-C02-F03-M03,2024-10-13,2025-01-21,ils,PAD-01-C02-F02,Cambio a ILS día 20
PAD-01-C02-F03-M04,2024-09-23,2025-01-21,refino,,Asignación inicial
PAD-01-C02-F03-M05,2024-09-23,2024-10-13,refino,,Asignación inicial
PAD-01-C02-F03-M05,2024-10-13,2025-01-21,ils,PAD-01-C02-F02,Cambio a ILS día 20
PAD-01-C02-F03-M06,2024-09-23,2024-10-13,refino,,Asignación inicial
PAD-01-C02-F03-M06,2024-10-13,2025-01-21,ils,PAD-01-C02-F01,Cambio a ILS día 20
PAD-01-C02-F03-M07,2024-09-23,2025-01-21,refino,,Asignación inicial
PAD-01-C02-F03-M08,2024-09-23,2024-10-13,refino,,Asignación inicial
PAD-01-C02-F03-M08,2024-10-13,2025-01-21,ils,PAD-01-C02-F01,Cambio a ILS día 20
PAD-01-C02-F03-M09,2024-09-23,2024-10-13,refino,,Asignación inicial
PAD-01-C02-F03-M09,2024-10-13,2025-01-21,ils,PAD-01-C02-F02,Cambio a ILS día 20
PAD-01-C02-F03-M10,2024-09-23,2025-01-21,refino,,Asignación inicial
PAD-01-C02-F05-M01,2024-10-17,2025-02-14,refino,,Asignación inicial
PAD-01-C02-F05-M02,2024-10-17,2024-11-06,refino,,Asignación inicial
PAD-01-C02-F05-M02,2024-11-06,2025-02-14,ils,PAD-01-C02-F01,Cambio a ILS día 20
PAD-01-C02-F05-M03,2024-10-17,2024-11-06,refino,,Asignación inicial
PAD-01-C02-F05-M03,2024-11-06,2025-02-14,ils,PAD-01-C02-F01,Cambio a ILS día 20
PAD-01-C02-F05-M04,2024-10-17,2025-02-14,refino,,Asignación inicial
PAD-01-C02-F05-M05,2024-10-17,2024-11-06,refino,,Asignación inicial
PAD-01-C02-F05-M05,2024-11-06,2025-02-14,ils,PAD-01-C02-F01,Cambio a ILS día 20
PAD-01-C02-F05-M06,2024-10-17,2024-11-06,refino,,Asignación inicial
PAD-01-C02-F05-M06,2024-11-06,2025-02-14,ils,PAD-01-C02-F02,Cambio a ILS día 20
PAD-01-C02-F05-M07,2024-10-17,2025-02-14,refino,,Asignación inicial
PAD-01-C02-F05-M08,2024-10-17,2024-11-06,refino,,Asignación inicial
PAD-01-C02-F05-M08,2024-11-06,2025-02-14,ils,PAD-01-C02-F01,Cambio a ILS día 20
PAD-01-C02-F05-M09,2024-10-17,2024-11-06,refino,,Asignación inicial
PAD-01-C02-F05-M09,2024-11-06,2025-02-14,ils,PAD-01-C02-F02,Cambio a ILS día 20
PAD-01-C02-F05-M10,2024-10-17,2025-02-14,refino,,Asignación inicial
PAD-01-C02-F06-M01,2024-11-08,2025-03-08,refino,,Asignación inicial
PAD-01-C02-F06-M02,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M02,2024-11-18,2025-03-08,ils,PAD-01-C02-F03,Cambio a ILS día 10
PAD-01-C02-F06-M03,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M03,2024-11-18,2025-03-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F06-M04,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M04,2024-11-18,2025-03-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F06-M05,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M05,2024-11-18,2025-03-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F06-M06,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M06,2024-11-18,2025-03-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F06-M07,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M07,2024-11-18,2025-03-08,ils,PAD-01-C02-F03,Cambio a ILS día 10
PAD-01-C02-F06-M08,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M08,2024-11-18,2025-03-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F06-M09,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M09,2024-11-18,2025-03-08,ils,PAD-01-C02-F01,Cambio a ILS día 10
PAD-01-C02-F06-M10,2024-11-08,2024-11-18,refino,,Asignación inicial
PAD-01-C02-F06-M10,2024-11-18,2025-03-08,ils,PAD-01-C02-F03,Cambio a ILS día 10
PAD-01-C02-F07-M01,2024-10-11,2025-02-08,refino,,Asignación inicial
PAD-01-C02-F07-M02,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M02,2024-10-21,2025-02-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F07-M03,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M03,2024-10-21,2025-02-08,ils,PAD-01-C02-F03,Cambio a ILS día 10
PAD-01-C02-F07-M04,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M04,2024-10-21,2025-02-08,ils,PAD-01-C02-F03,Cambio a ILS día 10
PAD-01-C02-F07-M05,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M05,2024-10-21,2025-02-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F07-M06,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M06,2024-10-21,2025-02-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F07-M07,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M07,2024-10-21,2025-02-08,ils,PAD-01-C02-F02,Cambio a ILS día 10
PAD-01-C02-F07-M08,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M08,2024-10-21,2025-02-08,ils,PAD-01-C02-F03,Cambio a ILS día 10
PAD-01-C02-F07-M09,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M09,2024-10-21,2025-02-08,ils,PAD-01-C02-F01,Cambio a ILS día 10
PAD-01-C02-F07-M10,2024-10-11,2024-10-21,refino,,Asignación inicial
PAD-01-C02-F07-M10,2024-10-21,2025-02-08,ils,PAD-01-C02-F03,Cambio a ILS día 10
