id_modulo,id_franja,fecha,tipo_solucion,fuente_ils,vol_aplicado_m3,tasa_riego_lhm2,cu_entrada_gpl,acid_entrada_gpl,fe_total_entrada_gpl,fe2_entrada_gpl,cl_entrada_gpl,sio2_entrada_gpl,mn_entrada_gpl
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-01-28,refino,,2001.0,8.34,0.322,10.3,1.054,0.371,0.269,0.085,0.068
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-01-28,refino,,2061.4,8.59,0.317,10.99,1.034,0.355,0.268,0.091,0.07
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-01-28,refino,,1808.4,7.54,0.326,10.68,1.055,0.365,0.28,0.092,0.071
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-01-28,refino,,1998.8,8.33,0.316,11.29,0.923,0.274,0.287,0.092,0.079
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-01-28,refino,,2091.9,8.72,0.337,11.24,0.993,0.312,0.306,0.087,0.072
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-01-28,refino,,1831.2,7.63,0.332,10.56,1.076,0.333,0.268,0.09,0.068
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-01-28,refino,,1865.0,7.77,0.327,11.22,0.929,0.291,0.306,0.092,0.074
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-01-28,refino,,1850.9,7.71,0.308,10.52,0.917,0.309,0.268,0.084,0.076
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-01-29,refino,,2057.7,8.57,0.339,10.59,1.074,0.317,0.293,0.086,0.068
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-01-29,refino,,1849.4,7.71,0.321,11.32,1.008,0.357,0.308,0.083,0.078
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-01-29,refino,,1800.6,7.5,0.311,11.17,1.048,0.323,0.292,0.086,0.079
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-01-29,refino,,2033.9,8.47,0.321,10.68,0.975,0.327,0.312,0.083,0.07
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-01-29,refino,,1887.8,7.87,0.332,11.16,0.911,0.271,0.296,0.078,0.078
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-01-29,refino,,1917.2,7.99,0.313,11.27,0.923,0.288,0.27,0.078,0.067
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-01-29,refino,,1815.6,7.56,0.314,10.33,1.008,0.34,0.284,0.081,0.074
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-01-29,refino,,2142.3,8.93,0.335,10.32,0.926,0.286,0.276,0.085,0.072
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-01-29,refino,,1813.1,7.55,0.32,10.84,0.911,0.317,0.264,0.091,0.068
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-01-29,refino,,2129.7,8.87,0.337,11.34,1.049,0.361,0.299,0.089,0.068
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-01-30,refino,,1940.0,8.08,0.32,10.63,0.966,0.326,0.278,0.092,0.08
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-01-30,refino,,1985.2,8.27,0.319,10.86,1.058,0.356,0.308,0.085,0.076
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-01-30,refino,,1908.4,7.95,0.332,10.5,1.028,0.359,0.269,0.086,0.068
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-01-30,refino,,2082.8,8.68,0.311,11.29,0.918,0.327,0.308,0.086,0.078
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-01-30,refino,,2110.4,8.79,0.339,10.55,1.007,0.302,0.297,0.079,0.075
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-01-30,refino,,2021.7,8.42,0.323,10.84,1.042,0.36,0.29,0.086,0.08
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-01-30,refino,,1841.2,7.67,0.312,10.37,1.021,0.327,0.306,0.087,0.071
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-01-30,refino,,2151.6,8.96,0.333,10.57,0.963,0.302,0.27,0.078,0.08
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-01-30,refino,,1968.0,8.2,0.32,11.07,1.0,0.354,0.307,0.084,0.072
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-01-30,refino,,2186.7,9.11,0.331,11.31,0.914,0.319,0.298,0.078,0.075
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-01-31,refino,,2190.9,9.13,0.336,10.58,1.056,0.317,0.319,0.087,0.076
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-01-31,refino,,1829.6,7.62,0.337,10.31,0.938,0.284,0.306,0.079,0.08
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-01-31,refino,,2055.1,8.56,0.309,10.28,0.901,0.3,0.308,0.08,0.079
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-01-31,refino,,1816.3,7.57,0.334,11.28,1.043,0.354,0.31,0.076,0.069
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-01-31,refino,,1843.3,7.68,0.324,11.08,1.015,0.354,0.27,0.088,0.069
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-01-31,refino,,1901.4,7.92,0.331,11.34,1.012,0.3,0.297,0.076,0.079
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-01-31,refino,,2076.3,8.65,0.313,10.38,0.927,0.331,0.288,0.089,0.076
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-01-31,refino,,2021.7,8.42,0.313,11.3,0.95,0.315,0.302,0.087,0.08
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-01-31,refino,,1852.7,7.72,0.324,10.71,0.984,0.296,0.269,0.08,0.071
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-01-31,refino,,1964.1,8.18,0.328,10.96,0.972,0.311,0.274,0.086,0.071
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-01,refino,,2012.4,8.38,0.322,10.95,0.962,0.314,0.304,0.091,0.08
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-01,refino,,1994.2,8.31,0.325,11.14,0.953,0.332,0.29,0.078,0.067
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-01,refino,,2129.1,8.87,0.31,10.58,0.957,0.291,0.279,0.088,0.066
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-01,refino,,2123.2,8.85,0.336,10.68,0.921,0.306,0.268,0.082,0.08
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-01,refino,,2190.3,9.13,0.333,10.61,1.027,0.348,0.284,0.086,0.066
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-01,refino,,1876.8,7.82,0.325,10.45,0.923,0.321,0.319,0.085,0.079
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-01,refino,,2188.2,9.12,0.312,10.76,0.968,0.289,0.305,0.083,0.073
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-01,refino,,1853.6,7.72,0.314,11.26,0.899,0.278,0.278,0.084,0.075
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-01,refino,,1990.1,8.29,0.311,10.54,1.057,0.354,0.299,0.087,0.077
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-01,refino,,1816.7,7.57,0.32,10.86,0.958,0.334,0.289,0.089,0.079
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-02,refino,,1864.3,7.77,0.319,10.48,0.895,0.317,0.287,0.081,0.075
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-02,refino,,1796.4,7.49,0.317,11.04,1.016,0.363,0.297,0.084,0.077
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-02,refino,,2153.5,8.97,0.331,11.32,1.045,0.366,0.268,0.088,0.073
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-02,refino,,2014.0,8.39,0.329,11.33,1.085,0.339,0.304,0.088,0.071
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-02,refino,,1842.9,7.68,0.309,11.12,0.987,0.353,0.288,0.092,0.072
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-02,refino,,2109.8,8.79,0.311,10.88,1.049,0.371,0.309,0.076,0.072
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-02,refino,,1812.9,7.55,0.311,11.01,1.032,0.355,0.311,0.088,0.078
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-02,refino,,1813.0,7.55,0.315,10.95,1.06,0.311,0.291,0.087,0.067
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-02,refino,,1953.5,8.14,0.337,11.0,0.938,0.327,0.281,0.09,0.071
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-02,refino,,2028.8,8.45,0.321,10.57,1.066,0.326,0.266,0.081,0.077
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-03,refino,,1991.6,8.3,0.312,10.67,0.904,0.277,0.262,0.083,0.076
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-03,refino,,1930.3,8.04,0.322,11.31,1.039,0.342,0.278,0.091,0.07
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-03,refino,,1923.2,8.01,0.337,10.85,1.037,0.344,0.299,0.081,0.07
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-03,refino,,1922.0,8.01,0.313,11.22,0.947,0.312,0.307,0.089,0.073
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-03,refino,,1983.3,8.26,0.34,11.01,1.052,0.37,0.307,0.079,0.075
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-03,refino,,1834.1,7.64,0.329,11.31,0.992,0.319,0.263,0.092,0.068
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-03,refino,,1809.9,7.54,0.316,10.35,0.981,0.321,0.279,0.076,0.068
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-03,refino,,1946.8,8.11,0.31,11.03,0.931,0.292,0.284,0.083,0.066
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-03,refino,,1838.2,7.66,0.336,10.28,0.991,0.322,0.281,0.083,0.078
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-03,refino,,2128.8,8.87,0.316,10.63,0.939,0.305,0.301,0.079,0.071
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-04,refino,,1837.6,7.66,0.328,10.54,1.003,0.333,0.311,0.076,0.079
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-04,refino,,2040.3,8.5,0.313,11.11,1.06,0.329,0.315,0.083,0.075
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-04,refino,,2186.0,9.11,0.32,11.16,0.954,0.329,0.296,0.079,0.072
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-04,refino,,1920.1,8.0,0.31,10.31,0.959,0.283,0.271,0.088,0.077
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-04,refino,,2087.9,8.7,0.318,11.24,1.008,0.304,0.27,0.087,0.069
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-04,refino,,1995.7,8.32,0.34,10.28,0.894,0.32,0.295,0.078,0.079
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-04,refino,,2144.4,8.93,0.325,10.95,0.945,0.28,0.296,0.081,0.076
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-04,refino,,2126.8,8.86,0.308,10.92,0.936,0.328,0.276,0.086,0.074
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-04,refino,,1951.4,8.13,0.33,11.06,1.003,0.344,0.318,0.083,0.074
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-04,refino,,1798.5,7.49,0.334,10.84,0.971,0.291,0.313,0.082,0.076
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-05,refino,,1999.6,8.33,0.332,11.07,1.045,0.346,0.267,0.091,0.079
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-05,refino,,2111.6,8.8,0.311,10.5,1.038,0.306,0.318,0.082,0.077
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-05,refino,,2147.3,8.95,0.321,10.62,1.011,0.335,0.285,0.086,0.08
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-05,refino,,1979.9,8.25,0.314,10.68,0.969,0.292,0.271,0.087,0.071
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-05,refino,,2174.1,9.06,0.316,10.38,1.04,0.365,0.277,0.079,0.069
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-05,refino,,2001.6,8.34,0.323,10.56,0.899,0.292,0.317,0.087,0.074
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-05,refino,,1837.6,7.66,0.316,10.6,1.042,0.365,0.314,0.092,0.081
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-05,refino,,2173.3,9.06,0.31,10.43,0.951,0.313,0.267,0.09,0.075
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-05,refino,,2009.7,8.37,0.313,10.55,0.922,0.322,0.295,0.088,0.071
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-05,refino,,1941.5,8.09,0.321,11.1,1.043,0.32,0.316,0.078,0.079
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-06,refino,,2005.1,8.35,0.316,10.54,0.922,0.327,0.313,0.089,0.074
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-06,refino,,1989.0,8.29,0.325,10.86,0.977,0.295,0.269,0.092,0.073
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-06,refino,,2173.4,9.06,0.313,10.88,0.932,0.289,0.263,0.078,0.08
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-06,refino,,1921.7,8.01,0.328,10.78,0.97,0.318,0.272,0.092,0.078
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-06,refino,,2089.1,8.7,0.323,10.44,1.073,0.339,0.264,0.081,0.078
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-06,refino,,2041.7,8.51,0.332,11.13,0.932,0.33,0.287,0.086,0.066
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-06,refino,,2189.4,9.12,0.317,10.34,0.981,0.296,0.27,0.086,0.072
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-06,refino,,2160.9,9.0,0.318,11.06,0.982,0.33,0.296,0.084,0.08
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-06,refino,,1930.1,8.04,0.314,11.01,1.058,0.313,0.287,0.091,0.077
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-06,refino,,2188.8,9.12,0.325,10.99,0.95,0.338,0.283,0.088,0.072
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-07,refino,,2059.5,8.58,0.329,10.99,0.894,0.281,0.273,0.089,0.079
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-07,refino,,1891.8,7.88,0.33,10.42,0.945,0.286,0.278,0.087,0.08
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-07,refino,,1874.2,7.81,0.325,11.04,1.079,0.36,0.276,0.086,0.071
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-07,refino,,2182.6,9.09,0.321,11.02,0.895,0.286,0.312,0.086,0.073
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-07,refino,,2166.5,9.03,0.336,10.63,0.998,0.325,0.298,0.081,0.07
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-07,refino,,2157.3,8.99,0.338,11.19,1.084,0.371,0.306,0.088,0.073
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-07,refino,,1975.4,8.23,0.316,10.97,0.948,0.294,0.295,0.083,0.069
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-07,refino,,2118.8,8.83,0.336,10.46,0.892,0.281,0.308,0.09,0.068
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-07,refino,,2102.1,8.76,0.312,10.7,1.088,0.333,0.27,0.083,0.075
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-07,refino,,2165.3,9.02,0.34,10.35,0.918,0.317,0.277,0.091,0.076
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-08,refino,,1831.5,7.63,0.331,11.33,0.954,0.308,0.286,0.076,0.076
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-08,refino,,1934.3,8.06,0.333,11.18,1.053,0.338,0.28,0.088,0.078
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-08,refino,,1989.3,8.29,0.337,10.43,1.064,0.319,0.27,0.085,0.067
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-08,refino,,1814.6,7.56,0.308,10.75,1.044,0.309,0.299,0.089,0.069
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-08,refino,,1852.0,7.72,0.336,11.17,0.997,0.346,0.267,0.082,0.077
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-08,refino,,1896.1,7.9,0.332,10.82,1.039,0.336,0.283,0.079,0.069
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-08,refino,,2093.0,8.72,0.312,10.37,0.925,0.282,0.309,0.082,0.081
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-08,refino,,1848.2,7.7,0.329,10.76,0.968,0.339,0.318,0.09,0.069
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-08,refino,,1881.5,7.84,0.329,10.59,1.036,0.342,0.293,0.09,0.077
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-08,refino,,1804.1,7.52,0.309,10.93,0.987,0.306,0.286,0.088,0.078
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-09,refino,,2051.1,8.55,0.313,11.24,0.984,0.319,0.316,0.077,0.069
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-09,refino,,2027.0,8.45,0.314,11.01,0.933,0.28,0.273,0.083,0.069
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-09,refino,,1847.2,7.7,0.336,10.62,0.962,0.286,0.282,0.08,0.075
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-09,refino,,1875.4,7.81,0.337,11.28,0.91,0.273,0.268,0.086,0.068
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-09,refino,,2133.2,8.89,0.332,11.16,0.995,0.356,0.264,0.082,0.071
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-09,refino,,2171.6,9.05,0.327,11.15,0.924,0.33,0.29,0.084,0.081
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-09,refino,,1945.3,8.11,0.321,10.91,0.916,0.288,0.272,0.077,0.079
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-09,refino,,2028.4,8.45,0.32,10.72,0.976,0.327,0.315,0.091,0.072
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-09,refino,,1924.7,8.02,0.323,10.89,0.982,0.33,0.293,0.081,0.071
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-09,refino,,1944.4,8.1,0.311,10.46,1.034,0.329,0.274,0.085,0.077
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-10,refino,,1808.9,7.54,0.33,10.89,0.896,0.306,0.311,0.084,0.073
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-10,refino,,1795.7,7.48,0.333,10.63,1.064,0.338,0.294,0.08,0.069
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-10,refino,,2102.4,8.76,0.324,10.86,1.082,0.385,0.311,0.079,0.075
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-10,refino,,2143.5,8.93,0.32,10.39,1.051,0.341,0.294,0.092,0.075
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-10,refino,,1962.9,8.18,0.32,10.73,0.914,0.315,0.31,0.08,0.071
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-10,refino,,2142.0,8.92,0.309,10.84,0.982,0.332,0.271,0.087,0.072
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-10,refino,,2040.1,8.5,0.309,10.78,0.994,0.305,0.269,0.079,0.071
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-10,refino,,1832.1,7.63,0.339,10.71,1.051,0.375,0.266,0.087,0.079
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-10,refino,,2046.3,8.53,0.322,10.74,0.898,0.295,0.319,0.092,0.067
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-10,refino,,2074.8,8.65,0.318,11.25,0.899,0.319,0.31,0.078,0.067
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-11,refino,,1907.5,7.95,0.339,10.38,1.062,0.361,0.309,0.092,0.079
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-11,refino,,2169.5,9.04,0.312,11.14,0.999,0.328,0.313,0.092,0.077
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-11,refino,,1986.0,8.27,0.323,10.69,0.962,0.307,0.266,0.077,0.078
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-11,refino,,1971.3,8.21,0.338,10.94,0.897,0.273,0.273,0.092,0.069
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-11,refino,,1999.1,8.33,0.338,11.33,0.937,0.278,0.27,0.077,0.069
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-11,refino,,2020.1,8.42,0.337,10.86,1.014,0.311,0.308,0.086,0.079
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-11,refino,,2171.7,9.05,0.319,10.37,0.935,0.301,0.316,0.082,0.078
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-11,refino,,2008.9,8.37,0.314,10.62,1.02,0.344,0.286,0.079,0.077
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-11,refino,,1860.8,7.75,0.338,10.48,0.912,0.297,0.291,0.084,0.073
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-11,refino,,2190.0,9.13,0.324,10.79,0.974,0.29,0.296,0.079,0.076
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-12,refino,,2134.8,8.89,0.328,10.65,1.022,0.344,0.317,0.082,0.072
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-12,refino,,2117.2,8.82,0.324,11.07,0.981,0.302,0.305,0.078,0.069
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-12,refino,,2043.3,8.51,0.332,11.24,0.944,0.284,0.317,0.078,0.069
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-12,refino,,1909.6,7.96,0.325,11.23,1.041,0.353,0.271,0.082,0.073
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-12,refino,,1852.3,7.72,0.317,10.61,0.916,0.302,0.302,0.077,0.073
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-12,refino,,2105.3,8.77,0.332,11.16,0.979,0.34,0.275,0.082,0.069
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-12,refino,,1979.8,8.25,0.321,10.54,1.039,0.326,0.277,0.078,0.073
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-12,refino,,1914.3,7.98,0.32,10.53,1.042,0.369,0.29,0.086,0.079
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-12,refino,,2191.6,9.13,0.328,11.24,1.07,0.369,0.288,0.077,0.066
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-12,refino,,1983.7,8.27,0.324,10.72,1.003,0.33,0.31,0.077,0.07
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-13,refino,,2015.5,8.4,0.317,10.46,0.929,0.276,0.316,0.082,0.079
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-13,refino,,2065.1,8.6,0.314,10.47,1.051,0.327,0.314,0.078,0.076
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-13,refino,,2118.1,8.83,0.316,10.58,1.081,0.336,0.286,0.083,0.07
PAD-01-C01-F02-M04,PAD-01-C01-F02,2024-02-13,refino,,2102.7,8.76,0.333,10.69,1.056,0.324,0.262,0.085,0.081
PAD-01-C01-F02-M05,PAD-01-C01-F02,2024-02-13,refino,,1808.9,7.54,0.315,10.84,1.051,0.314,0.284,0.088,0.072
PAD-01-C01-F02-M06,PAD-01-C01-F02,2024-02-13,refino,,1868.8,7.79,0.314,10.72,0.985,0.344,0.299,0.087,0.081
PAD-01-C01-F02-M07,PAD-01-C01-F02,2024-02-13,refino,,1957.7,8.16,0.321,11.28,0.939,0.32,0.305,0.077,0.073
PAD-01-C01-F02-M08,PAD-01-C01-F02,2024-02-13,refino,,1873.4,7.81,0.314,10.78,0.948,0.327,0.314,0.089,0.07
PAD-01-C01-F02-M09,PAD-01-C01-F02,2024-02-13,refino,,1902.8,7.93,0.316,10.42,1.077,0.344,0.274,0.09,0.072
PAD-01-C01-F02-M10,PAD-01-C01-F02,2024-02-13,refino,,1807.5,7.53,0.313,10.97,1.045,0.321,0.315,0.09,0.079
PAD-01-C01-F02-M01,PAD-01-C01-F02,2024-02-14,refino,,2142.9,8.93,0.325,11.08,1.053,0.36,0.278,0.078,0.07
PAD-01-C01-F02-M02,PAD-01-C01-F02,2024-02-14,refino,,1993.9,8.31,0.324,10.91,0.969,0.334,0.314,0.08,0.077
PAD-01-C01-F02-M03,PAD-01-C01-F02,2024-02-14,refino,,2063.7,8.6,0.325,10.48,1.048,0.373,0.303,0.091,0.081
