id_franja,fecha,vol_pls_m3,cu_pls_gpl,acid_pls_gpl,fe_total_pls_gpl,fe2_pls_gpl,cl_pls_gpl,sio2_pls_gpl,mn_pls_gpl
PAD-01-C01-F02,2024-03-28,17894.4,1.497,6.51,2.743,0.799,0.391,0.271,0.145
PAD-01-C01-F02,2024-03-29,18729.6,1.458,6.59,2.764,1.117,0.337,0.293,0.155
PAD-01-C01-F02,2024-03-30,19438.1,1.507,6.01,2.544,0.989,0.421,0.26,0.127
PAD-01-C01-F02,2024-03-31,18883.1,1.333,6.66,2.664,1.1,0.364,0.219,0.115
PAD-01-C01-F02,2024-04-01,18665.0,1.357,6.63,2.544,0.924,0.392,0.313,0.128
PAD-01-C01-F02,2024-04-02,18452.6,1.386,6.05,2.661,1.092,0.386,0.187,0.105
PAD-01-C01-F02,2024-04-03,18406.9,1.347,6.25,2.446,0.957,0.356,0.216,0.112
PAD-01-C01-F02,2024-04-04,19048.5,1.275,6.06,2.855,0.823,0.362,0.247,0.154
PAD-01-C01-F02,2024-04-05,18212.0,1.266,6.74,2.637,0.788,0.469,0.276,0.12
PAD-01-C01-F02,2024-04-06,19060.8,1.365,6.97,2.856,0.723,0.39,0.229,0.146
PAD-01-C01-F02,2024-04-07,18847.9,1.225,6.28,2.563,0.643,0.442,0.325,0.13
PAD-01-C01-F02,2024-04-08,18246.6,1.297,7.02,2.555,1.208,0.446,0.228,0.141
PAD-01-C01-F02,2024-04-09,18236.8,1.272,6.51,2.434,1.107,0.363,0.247,0.134
PAD-01-C01-F02,2024-04-10,19110.0,1.184,6.5,2.753,0.765,0.363,0.299,0.103
PAD-01-C01-F02,2024-04-11,19140.8,1.249,6.33,2.816,1.123,0.406,0.209,0.137
PAD-01-C01-F02,2024-04-12,19439.1,1.261,5.71,2.589,0.775,0.355,0.215,0.133
PAD-01-C01-F02,2024-04-13,18799.3,1.147,6.11,2.879,0.814,0.354,0.257,0.095
PAD-01-C01-F02,2024-04-14,18869.8,1.117,6.85,2.587,0.735,0.295,0.176,0.118
PAD-01-C01-F02,2024-04-15,19474.8,1.113,6.66,2.634,0.863,0.374,0.341,0.107
PAD-01-C01-F02,2024-04-16,18162.9,1.104,6.58,2.593,0.657,0.334,0.271,0.103
PAD-01-C01-F02,2024-04-17,18257.6,1.057,6.22,2.567,0.855,0.362,0.25,0.133
PAD-01-C01-F02,2024-04-18,19387.6,1.112,6.91,2.374,1.186,0.397,0.207,0.136
PAD-01-C01-F02,2024-04-19,19593.4,1.093,6.69,2.709,1.295,0.433,0.335,0.119
PAD-01-C01-F02,2024-04-20,17637.4,1.109,6.71,2.659,1.124,0.449,0.164,0.136
PAD-01-C01-F02,2024-04-21,17705.9,1.023,6.3,2.517,1.015,0.355,0.184,0.118
PAD-01-C01-F02,2024-04-22,18388.5,1.017,5.88,2.426,0.979,0.361,0.18,0.104
PAD-01-C01-F02,2024-04-23,18455.8,1.083,6.9,2.431,1.118,0.331,0.318,0.134
PAD-01-C01-F02,2024-04-24,18680.8,1.043,6.0,2.685,1.225,0.362,0.234,0.116
PAD-01-C01-F02,2024-04-25,18422.8,1.049,6.5,2.556,0.81,0.428,0.289,0.125
PAD-01-C01-F02,2024-04-26,18341.3,0.931,6.9,2.251,0.871,0.377,0.296,0.115
PAD-01-C01-F02,2024-04-27,19178.5,1.031,6.3,2.585,0.768,0.445,0.324,0.118
PAD-01-C01-F02,2024-04-28,19881.6,0.987,6.5,2.356,1.127,0.378,0.173,0.128
PAD-01-C01-F02,2024-04-29,19983.7,0.943,6.81,2.539,0.943,0.417,0.226,0.134
PAD-01-C01-F02,2024-04-30,18501.1,0.987,6.36,2.623,1.111,0.411,0.278,0.115
PAD-01-C01-F02,2024-05-01,18823.1,1.003,6.13,2.414,0.666,0.324,0.28,0.102
PAD-01-C01-F02,2024-05-02,19109.5,0.896,6.6,2.314,0.803,0.406,0.258,0.103
PAD-01-C01-F02,2024-05-03,18275.0,0.874,6.58,2.432,0.808,0.39,0.231,0.102
PAD-01-C01-F02,2024-05-04,18687.5,0.86,6.84,2.51,1.009,0.403,0.176,0.102
PAD-01-C01-F02,2024-05-05,18593.4,0.926,6.67,2.518,0.646,0.369,0.273,0.102
PAD-01-C01-F02,2024-05-06,17690.8,0.866,6.2,2.325,1.061,0.449,0.327,0.093
PAD-01-C01-F02,2024-05-07,19006.5,0.886,7.13,2.679,1.264,0.398,0.267,0.1
PAD-01-C01-F02,2024-05-08,19106.3,0.9,6.36,2.412,0.679,0.433,0.274,0.103
PAD-01-C01-F02,2024-05-09,18196.1,0.818,6.72,2.537,1.254,0.423,0.307,0.126
PAD-01-C01-F02,2024-05-10,19121.9,0.829,6.11,2.427,0.69,0.355,0.168,0.117
PAD-01-C01-F02,2024-05-11,19316.0,0.864,6.98,2.317,0.911,0.39,0.313,0.112
PAD-01-C01-F02,2024-05-12,19628.6,0.854,6.89,2.16,0.942,0.359,0.275,0.098
PAD-01-C01-F02,2024-05-13,18263.3,0.823,7.0,2.281,0.604,0.379,0.159,0.097
PAD-01-C01-F02,2024-05-14,18319.3,0.758,6.39,2.533,0.941,0.321,0.281,0.1
PAD-01-C01-F02,2024-05-15,18366.6,0.806,6.06,2.733,0.91,0.454,0.276,0.122
PAD-01-C01-F02,2024-05-16,17178.4,0.797,6.49,2.379,0.72,0.404,0.234,0.089
PAD-01-C01-F02,2024-05-17,19202.9,0.814,6.3,2.449,1.064,0.29,0.186,0.104
PAD-01-C01-F02,2024-05-18,19415.5,0.806,6.25,2.422,0.914,0.356,0.231,0.109
PAD-01-C01-F02,2024-05-19,18474.0,0.743,6.09,2.59,1.067,0.431,0.224,0.103
PAD-01-C01-F02,2024-05-20,18257.8,0.751,6.82,2.361,1.045,0.393,0.184,0.109
PAD-01-C01-F02,2024-05-21,19125.4,0.811,6.5,2.478,0.659,0.417,0.272,0.116
PAD-01-C01-F02,2024-05-22,19364.5,0.711,6.69,2.514,1.151,0.414,0.317,0.097
PAD-01-C01-F02,2024-05-23,19517.3,0.778,6.86,2.319,0.825,0.43,0.186,0.113
PAD-01-C01-F02,2024-05-24,18498.4,0.8,6.24,2.473,0.747,0.318,0.218,0.106
PAD-01-C01-F02,2024-05-25,19229.2,0.778,6.47,2.675,1.286,0.423,0.348,0.111
PAD-01-C01-F03,2024-01-25,24000.2,0.799,2.76,2.919,1.032,0.863,0.195,0.156
PAD-01-C01-F03,2024-01-26,24547.1,1.204,3.29,2.915,0.835,0.782,0.267,0.133
PAD-01-C01-F03,2024-01-27,24263.4,1.639,3.35,2.854,1.071,0.814,0.293,0.158
PAD-01-C01-F03,2024-01-28,24405.6,2.216,3.2,3.014,1.066,0.705,0.166,0.201
PAD-01-C01-F03,2024-01-29,23266.0,2.493,3.89,2.79,0.751,0.773,0.274,0.136
PAD-01-C01-F03,2024-01-30,26187.2,3.128,4.52,2.886,0.976,0.749,0.219,0.206
PAD-01-C01-F03,2024-01-31,24385.5,3.79,4.46,2.738,1.122,0.68,0.166,0.128
PAD-01-C01-F03,2024-02-01,24786.9,3.385,3.89,3.051,1.168,0.704,0.282,0.225
PAD-01-C01-F03,2024-02-02,24340.7,3.179,4.22,2.83,1.254,0.637,0.28,0.2
PAD-01-C01-F03,2024-02-03,24174.9,3.488,5.11,2.708,1.097,0.65,0.299,0.248
PAD-01-C01-F03,2024-02-04,25226.8,3.195,4.48,2.802,1.243,0.623,0.303,0.118
PAD-01-C01-F03,2024-02-05,25443.9,3.178,4.64,2.662,1.156,0.623,0.28,0.16
PAD-01-C01-F03,2024-02-06,24022.8,3.187,5.43,2.991,1.361,0.602,0.254,0.251
PAD-01-C01-F03,2024-02-07,24590.1,3.186,4.99,2.786,1.27,0.616,0.251,0.212
PAD-01-C01-F03,2024-02-08,23192.7,3.113,4.64,2.692,0.732,0.593,0.179,0.219
PAD-01-C01-F03,2024-02-09,25412.0,2.991,5.6,2.652,0.682,0.576,0.33,0.158
PAD-01-C01-F03,2024-02-10,24833.2,3.027,5.03,2.811,1.063,0.566,0.171,0.162
PAD-01-C01-F03,2024-02-11,23948.2,2.771,4.8,2.727,1.299,0.549,0.309,0.121
PAD-01-C01-F03,2024-02-12,25670.4,2.96,5.13,2.789,1.236,0.534,0.256,0.204
PAD-01-C01-F03,2024-02-13,24195.5,2.869,5.01,2.784,0.883,0.536,0.187,0.097
PAD-01-C01-F03,2024-02-14,24868.8,2.615,5.02,2.584,0.713,0.541,0.226,0.242
PAD-01-C01-F03,2024-02-15,24431.1,2.522,5.4,2.501,0.872,0.546,0.269,0.112
PAD-01-C01-F03,2024-02-16,23569.4,2.66,5.71,2.821,1.122,0.534,0.201,0.214
PAD-01-C01-F03,2024-02-17,24005.6,2.681,5.23,2.577,1.068,0.515,0.286,0.168
PAD-01-C01-F03,2024-02-18,23838.5,2.482,5.04,2.48,0.805,0.52,0.301,0.183
PAD-01-C01-F03,2024-02-19,25289.6,2.489,5.87,2.567,0.886,0.503,0.308,0.097
PAD-01-C01-F03,2024-02-20,24488.2,2.47,5.72,2.486,1.226,0.504,0.206,0.202
PAD-01-C01-F03,2024-02-21,23716.5,2.317,5.31,2.513,0.693,0.503,0.259,0.192
PAD-01-C01-F03,2024-02-22,23664.5,2.428,6.42,2.67,0.931,0.491,0.31,0.174
PAD-01-C01-F03,2024-02-23,25324.3,2.225,5.89,2.402,0.637,0.506,0.197,0.139
PAD-01-C01-F03,2024-02-24,24439.9,2.211,6.25,2.567,0.924,0.509,0.207,0.126
PAD-01-C01-F03,2024-02-25,24600.7,2.346,5.99,2.544,0.76,0.505,0.217,0.173
PAD-01-C01-F03,2024-02-26,23801.5,2.312,5.72,2.46,0.63,0.498,0.197,0.131
PAD-01-C01-F03,2024-02-27,24574.5,2.075,6.49,2.542,0.878,0.489,0.279,0.175
PAD-01-C01-F03,2024-02-28,23597.4,2.129,5.79,2.327,0.817,0.493,0.299,0.185
PAD-01-C01-F03,2024-02-29,24811.9,2.204,6.48,2.354,0.947,0.483,0.212,0.143
PAD-01-C01-F03,2024-03-01,24014.0,1.939,6.53,2.302,0.822,0.495,0.214,0.144
PAD-01-C01-F03,2024-03-02,24503.4,1.959,6.19,2.296,0.646,0.478,0.267,0.167
PAD-01-C01-F03,2024-03-03,24297.1,2.037,6.18,2.233,0.608,0.48,0.208,0.114
PAD-01-C01-F03,2024-03-04,24465.2,1.899,6.39,2.473,1.222,0.491,0.211,0.122
PAD-01-C01-F03,2024-03-05,23528.5,2.032,5.93,2.894,1.426,0.548,0.28,0.121
PAD-01-C01-F03,2024-03-06,24948.0,1.91,5.48,2.764,1.23,0.523,0.326,0.158
PAD-01-C01-F03,2024-03-07,23437.0,1.95,5.99,2.708,0.735,0.527,0.319,0.178
PAD-01-C01-F03,2024-03-08,24630.4,1.913,5.32,2.633,1.212,0.536,0.337,0.158
PAD-01-C01-F03,2024-03-09,24688.1,1.942,5.86,2.546,0.957,0.574,0.383,0.132
PAD-01-C01-F03,2024-03-10,25357.6,1.877,5.58,2.495,1.122,0.557,0.254,0.14
PAD-01-C01-F03,2024-03-11,23199.9,1.878,5.8,2.669,1.207,0.553,0.284,0.152
PAD-01-C01-F03,2024-03-12,25052.2,1.672,6.04,2.412,0.727,0.513,0.288,0.181
PAD-01-C01-F03,2024-03-13,24378.7,1.685,5.52,2.67,0.692,0.57,0.329,0.183
PAD-01-C01-F03,2024-03-14,24821.8,1.701,5.61,2.555,1.118,0.582,0.307,0.123
PAD-01-C01-F03,2024-03-15,24645.1,1.663,5.85,2.556,0.734,0.56,0.228,0.145
PAD-01-C01-F03,2024-03-16,22540.4,1.661,5.67,2.683,1.298,0.517,0.374,0.118
PAD-01-C01-F03,2024-03-17,24596.1,1.673,5.53,2.632,1.277,0.487,0.268,0.125
PAD-01-C01-F03,2024-03-18,24723.3,1.481,5.97,2.412,1.1,0.51,0.328,0.139
PAD-01-C01-F03,2024-03-19,23235.4,1.604,6.09,2.514,0.966,0.519,0.266,0.109
PAD-01-C01-F03,2024-03-20,23833.5,1.559,6.06,2.579,1.256,0.583,0.343,0.104
PAD-01-C01-F03,2024-03-21,24511.6,1.513,5.64,2.383,0.747,0.508,0.352,0.102
PAD-01-C01-F03,2024-03-22,23932.3,1.445,6.09,2.604,0.698,0.605,0.302,0.158
PAD-01-C01-F03,2024-03-23,25321.3,1.437,6.23,2.609,0.979,0.468,0.299,0.119
PAD-01-C01-F03,2024-03-24,23509.3,1.416,6.02,2.388,0.61,0.581,0.252,0.155
PAD-01-C01-F03,2024-03-25,24471.7,1.439,5.9,2.357,1.091,0.499,0.328,0.119
PAD-01-C01-F03,2024-03-26,23120.9,1.317,5.61,2.305,0.774,0.47,0.303,0.138
PAD-01-C01-F03,2024-03-27,25293.5,1.476,6.49,2.401,0.661,0.6,0.246,0.113
PAD-01-C01-F03,2024-03-28,24600.8,1.4,5.76,2.505,0.996,0.535,0.288,0.103
PAD-01-C01-F03,2024-03-29,23849.7,1.266,6.26,2.456,0.941,0.504,0.317,0.115
PAD-01-C01-F03,2024-03-30,25627.8,1.408,6.26,2.608,0.75,0.491,0.338,0.168
PAD-01-C01-F03,2024-03-31,25265.7,1.329,5.8,2.479,0.803,0.506,0.185,0.168
PAD-01-C01-F03,2024-04-01,23536.0,1.389,6.37,2.406,1.154,0.444,0.327,0.114
PAD-01-C01-F03,2024-04-02,24526.7,1.249,6.61,2.223,0.755,0.539,0.329,0.135
PAD-01-C01-F03,2024-04-03,25134.0,1.34,5.54,2.476,0.711,0.47,0.236,0.133
PAD-01-C01-F03,2024-04-04,23320.7,1.165,6.38,2.307,0.682,0.531,0.204,0.122
PAD-01-C01-F03,2024-04-05,24827.9,1.211,6.01,2.36,0.884,0.52,0.29,0.113
PAD-01-C01-F03,2024-04-06,25267.6,1.202,6.39,2.475,0.775,0.449,0.278,0.136
PAD-01-C01-F03,2024-04-07,23957.7,1.248,6.13,2.334,0.594,0.543,0.272,0.115
PAD-01-C01-F03,2024-04-08,25800.4,1.111,6.58,2.389,1.007,0.489,0.32,0.105
PAD-01-C01-F03,2024-04-09,24088.5,1.178,6.24,2.252,0.833,0.588,0.334,0.125
PAD-01-C01-F03,2024-04-10,24053.1,1.218,6.36,2.692,1.078,0.504,0.315,0.15
PAD-01-C01-F03,2024-04-11,23494.6,1.18,5.98,2.329,0.882,0.513,0.277,0.114
PAD-01-C01-F03,2024-04-12,24651.4,1.098,6.09,2.585,1.274,0.583,0.307,0.144
PAD-01-C01-F03,2024-04-13,24650.6,1.148,6.13,2.355,0.758,0.492,0.232,0.114
PAD-01-C01-F03,2024-04-14,24268.8,1.132,6.11,2.351,0.803,0.495,0.257,0.115
PAD-01-C01-F03,2024-04-15,24806.7,1.093,6.63,2.183,0.862,0.512,0.307,0.114
PAD-01-C01-F03,2024-04-16,24640.1,1.049,6.1,2.521,1.212,0.536,0.289,0.108
PAD-01-C01-F03,2024-04-17,24726.9,1.077,5.86,2.317,1.094,0.47,0.236,0.124
PAD-01-C01-F03,2024-04-18,24707.4,1.081,5.9,2.238,0.617,0.5,0.26,0.128
PAD-01-C01-F03,2024-04-19,24734.2,1.059,5.76,2.212,1.104,0.459,0.291,0.129
PAD-01-C01-F03,2024-04-20,23616.8,1.042,6.62,2.227,0.879,0.528,0.306,0.104
PAD-01-C01-F03,2024-04-21,24224.8,1.033,6.81,2.286,1.067,0.468,0.319,0.096
PAD-01-C01-F03,2024-04-22,23669.7,1.035,6.39,2.366,1.117,0.521,0.316,0.125
PAD-01-C01-F03,2024-04-23,24212.3,1.02,6.19,2.303,0.863,0.572,0.302,0.114
PAD-01-C01-F03,2024-04-24,23831.2,0.99,6.51,2.373,0.848,0.591,0.276,0.107
PAD-01-C01-F03,2024-04-25,24391.8,1.024,6.39,2.37,0.901,0.466,0.37,0.093
PAD-01-C01-F03,2024-04-26,23954.2,1.029,6.72,2.522,1.004,0.525,0.331,0.125
PAD-01-C01-F03,2024-04-27,23586.3,0.914,6.15,2.384,0.885,0.522,0.275,0.115
PAD-01-C01-F03,2024-04-28,24887.7,0.988,6.6,2.173,0.72,0.584,0.35,0.096
PAD-01-C01-F03,2024-04-29,25214.1,0.954,6.86,2.263,0.913,0.456,0.31,0.132
PAD-01-C01-F03,2024-04-30,24114.6,0.872,6.13,2.142,0.911,0.563,0.293,0.098
PAD-01-C01-F03,2024-05-01,26053.1,0.895,7.16,2.356,0.971,0.547,0.221,0.111
PAD-01-C01-F03,2024-05-02,23783.0,0.891,6.31,2.384,1.019,0.603,0.259,0.117
PAD-01-C01-F03,2024-05-03,25586.6,0.933,6.42,2.493,0.65,0.446,0.336,0.077
PAD-01-C01-F03,2024-05-04,23815.9,0.924,6.46,2.435,0.834,0.514,0.295,0.121
PAD-01-C01-F03,2024-05-05,25095.0,0.88,6.76,2.31,1.11,0.564,0.22,0.101
PAD-01-C01-F03,2024-05-06,25570.4,0.821,6.24,2.538,1.199,0.444,0.372,0.124
PAD-01-C01-F03,2024-05-07,22819.5,0.933,6.12,2.387,1.128,0.578,0.301,0.133
PAD-01-C01-F03,2024-05-08,24833.7,0.903,6.64,2.275,0.841,0.539,0.315,0.11
PAD-01-C01-F03,2024-05-09,24123.2,0.896,6.7,2.321,0.714,0.498,0.36,0.129
PAD-01-C01-F03,2024-05-10,23858.2,0.961,6.23,2.465,1.022,0.597,0.358,0.123
PAD-01-C01-F03,2024-05-11,23802.7,0.891,6.29,2.385,0.693,0.544,0.267,0.124
PAD-01-C01-F03,2024-05-12,25817.0,0.811,7.07,2.317,0.791,0.499,0.261,0.103
PAD-01-C01-F03,2024-05-13,24023.1,0.88,6.34,2.153,0.965,0.485,0.346,0.106
PAD-01-C01-F03,2024-05-14,23854.8,0.833,6.38,2.572,1.216,0.48,0.35,0.098
PAD-01-C01-F03,2024-05-15,25330.5,0.866,6.84,2.362,0.817,0.456,0.195,0.092
PAD-01-C01-F03,2024-05-16,24945.9,0.836,6.58,2.25,1.039,0.503,0.282,0.107
PAD-01-C01-F03,2024-05-17,24664.1,0.836,6.84,2.555,0.984,0.601,0.285,0.108
PAD-01-C01-F03,2024-05-18,24903.4,0.831,6.84,2.273,0.791,0.481,0.297,0.126
PAD-01-C01-F03,2024-05-19,24723.2,0.78,6.06,2.418,0.999,0.586,0.359,0.122
PAD-01-C01-F03,2024-05-20,23938.8,0.827,6.56,2.331,0.595,0.499,0.29,0.104
PAD-01-C01-F03,2024-05-21,24131.0,0.929,6.71,2.299,1.064,0.528,0.342,0.128
PAD-01-C01-F03,2024-05-22,23718.7,0.792,6.34,2.487,0.712,0.534,0.31,0.122
PAD-01-C01-F03,2024-05-23,24133.2,0.803,6.49,2.507,1.178,0.526,0.327,0.115
PAD-01-C01-F04,2024-02-17,16974.8,0.993,5.71,3.903,1.922,1.172,0.273,0.191
PAD-01-C01-F04,2024-02-18,17329.1,1.78,6.36,4.248,1.553,1.074,0.218,0.247
PAD-01-C01-F04,2024-02-19,17218.5,2.193,6.73,3.864,1.743,0.935,0.246,0.265
PAD-01-C01-F04,2024-02-20,17305.6,3.065,5.7,4.396,1.383,0.994,0.274,0.138
PAD-01-C01-F04,2024-02-21,17898.8,3.551,6.14,3.966,1.664,0.958,0.343,0.154
PAD-01-C01-F04,2024-02-22,17365.6,4.17,5.74,3.7,1.571,0.79,0.257,0.161
PAD-01-C01-F04,2024-02-23,18369.9,4.787,6.26,4.394,1.377,0.887,0.324,0.155
PAD-01-C01-F04,2024-02-24,17098.0,4.806,6.89,3.913,1.775,0.711,0.273,0.134
PAD-01-C01-F04,2024-02-25,17395.0,4.743,7.07,3.955,1.158,0.71,0.427,0.149
PAD-01-C01-F04,2024-02-26,17499.6,4.912,6.33,3.852,1.599,0.749,0.306,0.178
PAD-01-C01-F04,2024-02-27,16892.9,4.394,7.34,3.937,1.427,0.634,0.331,0.14
PAD-01-C01-F04,2024-02-28,17230.3,4.669,7.63,3.838,1.337,0.499,0.394,0.214
PAD-01-C01-F04,2024-02-29,17294.4,4.139,7.65,3.481,1.676,0.591,0.358,0.189
PAD-01-C01-F04,2024-03-01,17086.2,4.4,6.47,3.146,1.062,0.582,0.401,0.128
PAD-01-C01-F04,2024-03-02,18030.0,3.97,7.34,3.46,1.249,0.555,0.214,0.211
PAD-01-C01-F04,2024-03-03,16600.9,4.225,7.27,3.372,1.159,0.439,0.443,0.222
PAD-01-C01-F04,2024-03-04,17410.7,4.024,7.01,3.425,1.454,0.402,0.217,0.12
PAD-01-C01-F04,2024-03-05,17593.4,4.205,7.17,3.573,1.154,0.454,0.412,0.164
PAD-01-C01-F04,2024-03-06,17824.4,3.733,7.46,3.327,1.658,0.366,0.274,0.135
PAD-01-C01-F04,2024-03-07,17971.2,3.86,7.05,3.059,1.164,0.419,0.253,0.102
PAD-01-C01-F04,2024-03-08,16445.8,3.926,3.6,3.945,1.494,0.676,0.377,0.236
PAD-01-C01-F04,2024-03-09,17370.6,3.554,2.97,4.319,1.329,0.624,0.494,0.276
PAD-01-C01-F04,2024-03-10,17798.6,3.657,2.99,3.892,1.319,0.64,0.399,0.243
PAD-01-C01-F04,2024-03-11,16833.1,3.483,3.38,3.861,1.707,0.601,0.324,0.251
PAD-01-C01-F04,2024-03-12,17249.3,3.323,3.72,4.065,2.029,0.554,0.519,0.211
